"","x"
"(Intercept)",0.334875535797151
"resist",3.56127698815123e-05
"resist.sq",-3.23866626805535e-09
"resist.cu",5.64177646158973e-14
"soiltemp",-0.00326559988122951
"resist:soiltemp",5.17960623761712e-08
